norad,nome,categoria_n2yo,categoria_coleta,no_recorte
2949,,Westford Needles,,não
2965,,Navy Navigation Satellite System,,não
2969,,Intelsat,,não
2980,,Space & Earth Science,,não
2997,,Westford Needles,,não
3029,,Engineering,,não
3035,,Weather,,não
3047,,Tsiklon,,não
3066,,Space & Earth Science,,não
3081,,Military,,não
3093,,Space & Earth Science,,não
3129,,Geodetic,,não
3133,,Navy Navigation Satellite System,,não
3158,,Military,,não
3173,,Space & Earth Science,,não
3174,,Space & Earth Science,,não
3178,,Space & Earth Science,,não
3229,,Tsiklon,,não
3230,,Brightest,,não
3239,,Westford Needles,,não
3244,,Westford Needles,,não
3255,,Westford Needles,,não
3257,,Westford Needles,,não
3266,,Space & Earth Science,,não
3267,,Westford Needles,,não
3284,,Military,,não
3285,,Military,,não
3286,,Military,,não
3287,,Military,,não
3288,,Military,,não
3289,,Military,,não
3290,,Military,,não
3291,,Military,,não
3307,,Space & Earth Science,,não
3334,,Geostationary,,não
3338,,Space & Earth Science,,não
3345,,Weather,,não
3428,,Geostationary,,não
3428,,Space & Earth Science,,não
3430,,Geostationary,,não
3430,,Space & Earth Science,,não
3431,,Geostationary,,não
3504,,Military,,não
3510,,Space & Earth Science,,não
3530,,Military,,não
3533,,Space & Earth Science,,não
3576,,Geodetic,,não
3597,,Brightest,,não
3605,,Military,,não
3615,,Weather,,não
3623,,Intelsat,,não
3627,,Space & Earth Science,,não
3669,,Brightest,,não
3673,,Military,,não
3674,,Intelsat,,não
3691,,Geostationary,,não
3759,,Space & Earth Science,,não
3764,,Weather,,não
3770,,Space & Earth Science,,não
3818,,Geodetic,,não
3825,,Space & Earth Science,,não
3837,,Space & Earth Science,,não
3889,,Geostationary,,não
3891,,Military,,não
3943,,Space & Earth Science,,não
3947,,Intelsat,,não
3948,,Space & Earth Science,,não
3949,,Space & Earth Science,,não
3950,,Space & Earth Science,,não
3951,,Space & Earth Science,,não
3952,,Space & Earth Science,,não
3954,,Military,,não
3955,,Military,,não
4040,,Space & Earth Science,,não
4041,,Space & Earth Science,,não
4047,,Space & Earth Science,,não
4068,,Geostationary,,não
4070,,Tsiklon,,não
4132,,Military,,não
4138,,Tsiklon,,não
4168,,Radar Calibration,,não
4221,,Space & Earth Science,,não
4226,,Space & Earth Science,,não
4237,,Radar Calibration,,não
4247,,Radar Calibration,,não
4250,,Geostationary,,não
4254,,Geodetic,,não
4256,,Radar Calibration,,não
4257,,Military,,não
4259,,Radar Calibration,,não
4295,,Radar Calibration,,não
4297,,Intelsat,,não
4320,,Weather,,não
4321,,Amateur radio,,não
4327,,Brightest,,não
4331,,Space & Earth Science,,não
4353,,Geostationary,,não
4363,,Engineering,,não
4366,,Military,,não
4368,,Military,,não
4369,,Tsiklon,,não
4376,,Intelsat,,não
4382,,Experimental,,não
4383,,Strela,,não
4384,,Strela,,não
4385,,Strela,,não
4386,,Strela,,não
4387,,Strela,,não
4388,,Strela,,não
4389,,Strela,,não
4390,,Strela,,não
4418,,Geostationary,,não
4419,,Space & Earth Science,,não
4478,,Intelsat,,não
4493,,Geostationary,,não
4507,,Navy Navigation Satellite System,,não
4510,,Geostationary,,não
4512,,Space & Earth Science,,não
4564,,Military,,não
4578,,Tsiklon,,não
4588,,Strela,,não
4594,,Military,,não
4598,,Military,,não
4630,,Military,,não
4783,,Space & Earth Science,,não
4786,,Experimental,,não
4793,,Amateur radio,,não
4793,,NOAA,,não
4799,,Tsiklon,,não
4881,,Intelsat,,não
4902,,Geostationary,,não
4922,,Military,,não
4952,,Engineering,,não
4953,,Space & Earth Science,,não
4964,,Military,,não
5050,,Military,,não
5053,,Military,,não
5104,,Space & Earth Science,,não
5105,,Military,,não
5118,,Brightest,,não
5174,,Strela,,não
5180,,Geodetic,,não
5204,,Geostationary,,não
5210,,Strela,,não
5211,,Strela,,não
5212,,Strela,,não
5213,,Strela,,não
5214,,Strela,,não
5215,,Strela,,não
5216,,Strela,,não
5217,,Strela,,não
5234,,Space & Earth Science,,não
5238,,Tsiklon,,não
5252,,Space & Earth Science,,não
5261,,Space & Earth Science,,não
5377,,Space & Earth Science,,não
5397,,Space & Earth Science,,não
5398,,Radar Calibration,,não
5435,,Space & Earth Science,,não
5485,,Space & Earth Science,,não
5488,,Space & Earth Science,,não
5547,,Strela,,não
5548,,Strela,,não
5549,,Strela,,não
5550,,Strela,,não
5551,,Strela,,não
5552,,Strela,,não
5553,,Strela,,não
5554,,Strela,,não
5557,,Space & Earth Science,,não
5560,,Brightest,,não
5580,,Space & Earth Science,,não
5580,,Engineering,,não
5587,,Military,,não
5588,,Military,,não
5614,,Geodetic,,não
5678,,Military,,não
5680,,Military,,não
5681,,Military,,não
5682,,Military,,não
5683,,Tsiklon,,não
5702,,Westford Needles,,não
5705,,Strela,,não
5709,,Intelsat,,não
5721,,Military,,não
5729,,Space & Earth Science,,não
5730,,Brightest,,não
5731,,Space & Earth Science,,não
5775,,Intelsat,,não
5846,,Tsiklon,,não
5851,,Geostationary,,não
5860,,Space & Earth Science,,não
5861,,Space & Earth Science,,não
5903,,Space & Earth Science,,não
5905,,Geodetic,,não
5917,,Space & Earth Science,,não
5941,,Space & Earth Science,,não
6005,,Space & Earth Science,,não
6019,,Tsiklon,,não
6052,,Intelsat,,não
6059,,Strela,,não
6079,,Space & Earth Science,,não
